fold,seed,model,Acc,DI,EOD,AOD
0,74,DL,0.7,0.0,0.025,0.017401960784313726
0,74,Debiased-HITL,0.705,1.2241379310344827,0.025,0.007598039215686275
0,74,FE-HITL,0.705,1.2241379310344827,0.025,0.007598039215686275
0,75,DL,0.785,2.098522167487685,0.275,0.1738777089783282
0,75,Debiased-HITL,0.78,1.9819376026272577,0.22499999999999998,0.14887770897832817
0,75,FE-HITL,0.77,1.0492610837438425,0.025000000000000022,0.015595975232198155
0,76,DL,0.705,0.0,0.025,0.0125
0,76,Debiased-HITL,0.705,9.793103448275861,0.07500000000000001,0.06381578947368421
0,76,FE-HITL,0.705,0.0,0.025,0.0125
0,77,DL,0.705,1.0881226053639848,0.04999999999999999,0.013648090815273472
0,77,Debiased-HITL,0.705,1.0881226053639848,0.04999999999999999,0.013648090815273472
0,77,FE-HITL,0.705,1.0881226053639848,0.04999999999999999,0.013648090815273472
0,78,DL,0.74,1.2961460446247466,0.024999999999999967,0.022561919504643944
0,78,Debiased-HITL,0.74,1.2961460446247466,0.024999999999999967,0.022561919504643944
0,78,FE-HITL,0.74,1.0081135902636917,0.025000000000000022,0.015595975232198155
0,79,DL,0.76,1.5415070242656448,0.275,0.1313080495356037
0,79,Debiased-HITL,0.76,1.5415070242656448,0.275,0.1313080495356037
0,79,FE-HITL,0.74,0.9974457215836526,0.025000000000000022,0.00684984520123838
0,80,DL,0.755,1.3261494252873565,0.07500000000000001,0.04601393188854489
0,80,Debiased-HITL,0.755,1.3261494252873565,0.07500000000000001,0.04601393188854489
0,80,FE-HITL,0.75,1.0201149425287357,0.025000000000000022,0.01714396284829723
0,81,DL,0.77,2.0402298850574714,0.25,0.17788957688338491
0,81,Debiased-HITL,0.775,1.9382183908045976,0.25,0.16473168214654282
0,81,FE-HITL,0.77,2.0402298850574714,0.25,0.17788957688338491
0,82,DL,0.725,1.2241379310344827,0.19999999999999996,0.07755417956656344
0,82,Debiased-HITL,0.725,1.2241379310344827,0.19999999999999996,0.07755417956656344
0,82,FE-HITL,0.725,1.2241379310344827,0.19999999999999996,0.07755417956656344
0,83,DL,0.75,2.4482758620689657,0.275,0.1656217750257998
